M , N , H Winrate , V Winrate , 1P Winrate , 2P Winrate , Advantage, Sample Size
0 , 0 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
0 , 1 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
0 , 2 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
0 , 3 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
0 , 4 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
0 , 5 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
0 , 6 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
0 , 7 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
0 , 8 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
0 , 9 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
0 , 10 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
1 , 0 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
1 , 1 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
1 , 2 , 100.000000 , 0.000000, 50.000000 , 50.000000 , h , 100000
1 , 3 , 100.000000 , 0.000000, 50.000000 , 50.000000 , h , 100000
1 , 4 , 100.000000 , 0.000000, 50.000000 , 50.000000 , h , 100000
1 , 5 , 100.000000 , 0.000000, 50.000000 , 50.000000 , h , 100000
1 , 6 , 100.000000 , 0.000000, 50.000000 , 50.000000 , h , 100000
1 , 7 , 100.000000 , 0.000000, 50.000000 , 50.000000 , h , 100000
1 , 8 , 100.000000 , 0.000000, 50.000000 , 50.000000 , h , 100000
1 , 9 , 100.000000 , 0.000000, 50.000000 , 50.000000 , h , 100000
1 , 10 , 100.000000 , 0.000000, 50.000000 , 50.000000 , h , 100000
2 , 0 , 50.000000 , 50.000000, 0.000000 , 100.000000 , d , 100000
2 , 1 , 0.000000 , 100.000000, 50.000000 , 50.000000 , v , 100000
2 , 2 , 50.000000 , 50.000000, 100.000000 , 0.000000 , p , 100000
2 , 3 , 83.420500 , 16.579500, 66.579500 , 33.420500 , h , 100000
2 , 4 , 66.752000 , 33.248000, 16.752000 , 83.248000 , h , 100000
2 , 5 , 25.547000 , 74.453000, 51.955000 , 48.045000 , v , 100000
2 , 6 , 46.845000 , 53.155000, 74.368000 , 25.632000 , p , 100000
2 , 7 , 69.799000 , 30.201000, 57.777000 , 42.223000 , h , 100000
2 , 8 , 63.327000 , 36.673000, 39.071000 , 60.929000 , h , 100000
